Game,Map,Rank,Team,Placement,Placement Points,Elims,Total Points
14,Erangel,15,Orangutan,8,1,8,9
14,Erangel,16,IDA Esports,16,0,2,2
15,Erangel,1,S2G Esports,5,3,13,16
15,Erangel,2,Nongshim Redforce,3,5,3,8
15,Erangel,3,Aurora Gaming,8,1,1,2
15,Erangel,4,eArena,12,0,1,1
15,Erangel,5,Tianba,1,10,16,26
15,Erangel,6,4thrives Esports,9,0,4,4
15,Erangel,7,Team Flash,6,2,0,2
15,Erangel,8,E Horaa Esports,2,6,8,14
15,Erangel,9,Nigma Galaxy,11,0,0,0
15,Erangel,10,FURIA Esports,4,4,6,10
15,Erangel,11,ULF Esports,13,0,4,4
15,Erangel,12,Team Vitality,10,0,3,3
15,Erangel,13,Godlike Esports,16,0,1,1
15,Erangel,14,AlUla Club Esports,14,0,0,0
15,Erangel,15,Orangutan,15,0,0,0
15,Erangel,16,IDA Esports,7,1,1,2
16,Erangel,1,S2G Esports,3,5,2,7
16,Erangel,2,Nongshim Redforce,13,0,4,4
16,Erangel,3,Aurora Gaming,1,10,15,25
16,Erangel,4,eArena,9,0,0,0
16,Erangel,5,Tianba,8,1,2,3
16,Erangel,6,4thrives Esports,10,0,2,2
16,Erangel,7,Team Flash,14,0,5,5
16,Erangel,8,E Horaa Esports,16,0,1,1
16,Erangel,9,Nigma Galaxy,12,0,4,4
16,Erangel,10,FURIA Esports,2,6,4,10
16,Erangel,11,ULF Esports,7,1,1,2
16,Erangel,12,Team Vitality,4,4,6,10
16,Erangel,13,Godlike Esports,5,3,0,3
16,Erangel,14,AlUla Club Esports,11,0,1,1
16,Erangel,15,Orangutan,15,0,4,4
16,Erangel,16,IDA Esports,6,2,4,6
17,Miramar,1,S2G Esports,2,6,9,15
17,Miramar,2,Nongshim Redforce,10,0,7,7
17,Miramar,3,Aurora Gaming,13,0,0,0
17,Miramar,4,eArena,3,5,5,10
17,Miramar,5,Tianba,11,0,3,3
17,Miramar,6,4thrives Esports,9,0,2,2
17,Miramar,7,Team Flash,8,1,6,7
17,Miramar,8,E Horaa Esports,5,3,1,4
17,Miramar,9,Nigma Galaxy,7,1,1,2
17,Miramar,10,FURIA Esports,12,0,0,0
17,Miramar,11,ULF Esports,15,0,2,2
17,Miramar,12,Team Vitality,4,4,6,10
17,Miramar,13,Godlike Esports,14,0,1,1
17,Miramar,14,AlUla Club Esports,1,10,12,22
17,Miramar,15,Orangutan,16,0,2,2
17,Miramar,16,IDA Esports,6,2,4,6
18,Miramar,1,S2G Esports,15,0,0,0
18,Miramar,2,Nongshim Redforce,9,0,2,2
18,Miramar,3,Aurora Gaming,7,1,5,6
18,Miramar,4,eArena,5,3,4,7
18,Miramar,5,Tianba,1,10,9,19
18,Miramar,6,4thrives Esports,11,0,5,5
18,Miramar,7,Team Flash,4,4,3,7
18,Miramar,8,E Horaa Esports,3,5,6,11
18,Miramar,9,Nigma Galaxy,12,0,0,0
18,Miramar,10,FURIA Esports,6,2,0,2
18,Miramar,11,ULF Esports,16,0,1,1
18,Miramar,12,Team Vitality,2,6,10,16
18,Miramar,13,Godlike Esports,14,0,6,6
18,Miramar,14,AlUla Club Esports,8,1,2,3
18,Miramar,15,Orangutan,13,0,4,4
18,Miramar,16,IDA Esports,10,0,3,3
